-4,175,-2280,1629
-7,186,-2280,1629
-7,186,-2280,1628
-7,186,-2280,1629
-5,191,-2280,1628
-5,191,-2280,1629
-5,191,-2280,1628
4,204,-2280,1629
4,204,-2280,1543
4,204,-2280,1543
4,204,-2280,1543
24,208,-2280,1542
24,208,-2280,1629
24,208,-2280,1629
26,213,-2280,1628
26,213,-2280,1629
26,213,-2280,1628
39,224,-2280,1629
39,224,-2280,1628
39,224,-2280,1629
39,224,-2280,1629
0,210,-2280,1628
0,210,-2280,1543
0,210,-2280,1543
1,198,-2280,1543
1,198,-2280,1543
1,198,-2280,1542
1,198,-2280,1543
3,192,-2280,1543
3,192,-2280,1543
3,192,-2280,1544
7,169,-2280,1542
7,169,-2280,1543
7,169,-2280,1542
37,169,-2280,1543
37,157,-2280,1629
37,157,-2280,1628
37,157,-2280,1629
38,152,-2280,1629
38,152,-2280,1628
38,152,-2280,1629
2,167,-2280,1628
2,167,-2280,1543
2,167,-2280,1543
-19,165,-2280,1543
-19,165,-2280,1714
-19,165,-2280,1714
-19,165,-2280,1715
-13,147,-2274,1714
-13,147,-2274,1714
-13,147,-2274,1715
-4,137,-2146,1714
-4,137,-2146,1628
-4,137,-2146,1629
-5,123,-1927,1629
-5,123,-1927,1628
-5,123,-1927,1629
-6,105,-1735,1628
-6,105,-1735,1629
-6,105,-1735,1628
-9,90,-1548,1629
-9,90,-1548,1543
-9,90,-1548,1543
-9,90,-1548,1543
-6,83,-1355,1542
-6,83,-1355,1543
-6,83,-1355,1543
-2,78,-1152,1543
-2,78,-1152,1543
-2,78,-1152,1543
-2,78,-1152,1543
-2,62,-941,1542
-2,62,-941,1458
-2,62,-941,1457
0,47,-724,1457
0,47,-724,1371
0,47,-724,1372
0,47,-724,1371
-3,32,-507,1372
-3,32,-507,1457
-3,32,-507,1457
-3,32,-507,1457
-6,23,-289,1457
-6,23,-289,1457
-6,23,-289,1457
-6,23,-289,1458
5,13,-88,1457
5,13,-88,1285
5,13,-88,1286
5,13,-88,1286
5,7,-1,1286
5,7,-1,1114
5,7,-1,1114
5,7,-1,1114
-5,7,9,1115
-5,7,9,1114
-5,7,9,1114
-5,7,9,1115
-5,7,9,1114
-8,8,9,1114
-8,8,9,1114
-8,8,9,1115
-8,8,9,1114
-8,8,9,1114
-9,7,10,1115
-9,7,10,1200
-9,7,10,1200
-9,7,10,1200
-7,7,11,1200
-7,7,11,1200
-7,7,11,1200
-7,7,11,1200
-7,7,11,1200
-7,7,7,1200
-7,7,7,1115
-7,7,7,1113
-7,7,7,1114
-8,7,2,1115
-8,5,2,1114
-8,5,2,1114
-8,5,2,1115
-8,5,2,1114
-8,6,-1,1114
-8,6,-1,1200
-8,6,-1,1200
-8,6,-1,1200
-8,6,-1,1200
-8,6,-1,1200
-8,6,-1,1200
-8,6,-1,1200
-8,6,-1,1200
-5,10,0,1200
-5,10,0,1200
-5,10,0,1200
-5,10,0,1200
-5,10,0,1200
-5,9,4,1200
-5,9,4,1114
-5,9,4,1115
-5,9,4,1114
-8,9,8,1114
-8,9,8,1115
-8,9,8,1114
-8,9,8,1114
-8,9,8,1114
-10,7,20,1115
-10,7,20,1285
-10,7,20,1286
-10,7,20,1286
-9,5,46,1286
-9,5,46,1200
-9,5,46,1200
-9,5,46,1200
-9,5,46,1200
-9,0,92,1200
-9,0,92,1200
-9,0,92,1200
-9,0,92,1200
-5,-3,160,1200
-5,-3,160,1371
-5,-3,160,1371
-5,-3,160,1372
-6,-7,240,1371
-6,-7,240,1372
-6,-7,240,1371
-6,-7,240,1372
-9,-15,331,1371
